Error Type,Topic Guid,Message
Warning,6ba72f37-d303-4795-aa8f-7e1845078ed7,Fixing missing end table tag in file:6ba72f37-d303-4795-aa8f-7e1845078ed7.md
Warning,6ba72f37-d303-4795-aa8f-7e1845078ed7,Fixing missing end table tag in file:6ba72f37-d303-4795-aa8f-7e1845078ed7.md
Warning,6ba72f37-d303-4795-aa8f-7e1845078ed7,Fixing missing end table tag in file:6ba72f37-d303-4795-aa8f-7e1845078ed7.md
Warning,6ba72f37-d303-4795-aa8f-7e1845078ed7,Fixing missing end table tag in file:6ba72f37-d303-4795-aa8f-7e1845078ed7.md
Warning,6ba72f37-d303-4795-aa8f-7e1845078ed7,Fixing missing end table tag in file:6ba72f37-d303-4795-aa8f-7e1845078ed7.md
Warning,6ba72f37-d303-4795-aa8f-7e1845078ed7,Fixing missing end table tag in file:6ba72f37-d303-4795-aa8f-7e1845078ed7.md
Warning,6ba72f37-d303-4795-aa8f-7e1845078ed7,Found invalid tables saving file:6ba72f37-d303-4795-aa8f-7e1845078ed7.md
Warning,6fc2687c-0abf-43b8-aa54-7c3b2a84b67c,Found a an ul list inside a table in html file:6fc2687c-0abf-43b8-aa54-7c3b2a84b67c.xml
Warning,6fc2687c-0abf-43b8-aa54-7c3b2a84b67c,Missing tables headers in file:6fc2687c-0abf-43b8-aa54-7c3b2a84b67c.md
Warning,6fc2687c-0abf-43b8-aa54-7c3b2a84b67c,Found nested table in md file:6fc2687c-0abf-43b8-aa54-7c3b2a84b67c.md
Warning,6fc2687c-0abf-43b8-aa54-7c3b2a84b67c,Fixing missing end table tag in file:6fc2687c-0abf-43b8-aa54-7c3b2a84b67c.md
Warning,6fc2687c-0abf-43b8-aa54-7c3b2a84b67c,Fixing missing end table tag in file:6fc2687c-0abf-43b8-aa54-7c3b2a84b67c.md
Warning,6fc2687c-0abf-43b8-aa54-7c3b2a84b67c,Fixing missing end table tag in file:6fc2687c-0abf-43b8-aa54-7c3b2a84b67c.md
Warning,6fc2687c-0abf-43b8-aa54-7c3b2a84b67c,Fixing missing end table tag in file:6fc2687c-0abf-43b8-aa54-7c3b2a84b67c.md
Warning,6fc2687c-0abf-43b8-aa54-7c3b2a84b67c,Fixing missing end table tag in file:6fc2687c-0abf-43b8-aa54-7c3b2a84b67c.md
Warning,6fc2687c-0abf-43b8-aa54-7c3b2a84b67c,Fixing missing end table tag in file:6fc2687c-0abf-43b8-aa54-7c3b2a84b67c.md
Warning,6fc2687c-0abf-43b8-aa54-7c3b2a84b67c,Fixing missing end table tag in file:6fc2687c-0abf-43b8-aa54-7c3b2a84b67c.md
Warning,6fc2687c-0abf-43b8-aa54-7c3b2a84b67c,Fixing missing end table tag in file:6fc2687c-0abf-43b8-aa54-7c3b2a84b67c.md
Warning,6fc2687c-0abf-43b8-aa54-7c3b2a84b67c,Found invalid tables saving file:6fc2687c-0abf-43b8-aa54-7c3b2a84b67c.md
Warning,707198df-df85-4833-9c15-aa29b71f085c,Found nested table in md file:707198df-df85-4833-9c15-aa29b71f085c.md
Warning,707198df-df85-4833-9c15-aa29b71f085c,Fixing missing end table tag in file:707198df-df85-4833-9c15-aa29b71f085c.md
Warning,707198df-df85-4833-9c15-aa29b71f085c,Found invalid tables saving file:707198df-df85-4833-9c15-aa29b71f085c.md
Warning,72979911-5319-4de2-a275-4dd9a0f44fe6,Found nested table in md file:72979911-5319-4de2-a275-4dd9a0f44fe6.md
Warning,72979911-5319-4de2-a275-4dd9a0f44fe6,Fixing missing end table tag in file:72979911-5319-4de2-a275-4dd9a0f44fe6.md
Warning,72979911-5319-4de2-a275-4dd9a0f44fe6,Found invalid tables saving file:72979911-5319-4de2-a275-4dd9a0f44fe6.md
Warning,74eda791-c41f-4fd9-ae0b-913342e7ab04,Found a an ul list inside a table in html file:74eda791-c41f-4fd9-ae0b-913342e7ab04.xml
Warning,74eda791-c41f-4fd9-ae0b-913342e7ab04,Missing tables headers in file:74eda791-c41f-4fd9-ae0b-913342e7ab04.md
Warning,77b26eac-8228-4161-ba9f-733b187bd836,Found a an ul list inside a table in html file:77b26eac-8228-4161-ba9f-733b187bd836.xml
Warning,77d36233-2aab-4802-ba9c-e9a8885ea643,Found a an ul list inside a table in html file:77d36233-2aab-4802-ba9c-e9a8885ea643.xml
Warning,8cbe2eb2-1194-4fd7-b1ee-9f9287c82424,Found a an ul list inside a table in html file:8cbe2eb2-1194-4fd7-b1ee-9f9287c82424.xml
Warning,8cbe2eb2-1194-4fd7-b1ee-9f9287c82424,Found nested table in md file:8cbe2eb2-1194-4fd7-b1ee-9f9287c82424.md
Warning,8cbe2eb2-1194-4fd7-b1ee-9f9287c82424,Fixing missing end table tag in file:8cbe2eb2-1194-4fd7-b1ee-9f9287c82424.md
Warning,8cbe2eb2-1194-4fd7-b1ee-9f9287c82424,Fixing missing end table tag in file:8cbe2eb2-1194-4fd7-b1ee-9f9287c82424.md
Warning,8cbe2eb2-1194-4fd7-b1ee-9f9287c82424,Fixing missing end table tag in file:8cbe2eb2-1194-4fd7-b1ee-9f9287c82424.md
Warning,8cbe2eb2-1194-4fd7-b1ee-9f9287c82424,Found invalid tables saving file:8cbe2eb2-1194-4fd7-b1ee-9f9287c82424.md
