Error Type,Topic Guid,Message
Warning,1964cbf9-d7f1-4b4e-99d1-951ac42d82fe,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>A unique identifier specifying the scope of the IM filter configuration. Global settings exist by default and cannot be re-created with the <b>New-CsImFilterConfiguration</b>  cmdlet- but you can create site-level settings by specifying an Identity of site:&lt;site name&gt;- where &lt;site name&gt; is the name of the site to which the settings will be applied (for example- site:Redmond). </p> in md file:1964cbf9-d7f1-4b4e-99d1-951ac42d82fe.md total found:0
Warning,19ec0145-2398-437b-8989-f780c179b798,Found a an ul list inside a table in html file:19ec0145-2398-437b-8989-f780c179b798.xml
Warning,1a5427f4-a0d1-4652-8135-91333158ffc8,Found a an ul list inside a table in html file:1a5427f4-a0d1-4652-8135-91333158ffc8.xml
Warning,1b769a76-cbf3-46e9-a955-f6cde5faff93,Found nested table in md file:1b769a76-cbf3-46e9-a955-f6cde5faff93.md
Warning,1bdbd5d7-cc72-46c5-ac20-ddc0d5723fe0,Found nested table in md file:1bdbd5d7-cc72-46c5-ac20-ddc0d5723fe0.md
Warning,1bdbd5d7-cc72-46c5-ac20-ddc0d5723fe0,Fixing missing end table tag in file:1bdbd5d7-cc72-46c5-ac20-ddc0d5723fe0.md
Warning,1bdbd5d7-cc72-46c5-ac20-ddc0d5723fe0,Found invalid tables saving file:1bdbd5d7-cc72-46c5-ac20-ddc0d5723fe0.md
Warning,1ccde6bf-9a2d-4fcf-b81f-1bc9fee2cfbb,Found nested table in md file:1ccde6bf-9a2d-4fcf-b81f-1bc9fee2cfbb.md
Warning,1ccde6bf-9a2d-4fcf-b81f-1bc9fee2cfbb,Fixing missing end table tag in file:1ccde6bf-9a2d-4fcf-b81f-1bc9fee2cfbb.md
Warning,1ccde6bf-9a2d-4fcf-b81f-1bc9fee2cfbb,Found invalid tables saving file:1ccde6bf-9a2d-4fcf-b81f-1bc9fee2cfbb.md
Warning,1eac3a54-656a-40ac-b771-edfc64d6e34b,Found a an ul list inside a table in html file:1eac3a54-656a-40ac-b771-edfc64d6e34b.xml
Warning,1ed24fb8-a849-44c0-a52e-7aef7527e644,Found nested table in md file:1ed24fb8-a849-44c0-a52e-7aef7527e644.md
Warning,1ed24fb8-a849-44c0-a52e-7aef7527e644,Fixing missing end table tag in file:1ed24fb8-a849-44c0-a52e-7aef7527e644.md
Warning,1ed24fb8-a849-44c0-a52e-7aef7527e644,Found invalid tables saving file:1ed24fb8-a849-44c0-a52e-7aef7527e644.md
Warning,1f440590-c1bc-483e-b7bc-6cc763847768,Found a an ul list inside a table in html file:1f440590-c1bc-483e-b7bc-6cc763847768.xml
Warning,1f45163b-52c6-4a78-b9c8-dfe3abe4e5eb,Found a an ul list inside a table in html file:1f45163b-52c6-4a78-b9c8-dfe3abe4e5eb.xml
Warning,2000d672-a85f-4262-9d69-0bee9ae3709a,Found a an ul list inside a table in html file:2000d672-a85f-4262-9d69-0bee9ae3709a.xml
Warning,2000d672-a85f-4262-9d69-0bee9ae3709a,Found nested table in md file:2000d672-a85f-4262-9d69-0bee9ae3709a.md
Warning,2000d672-a85f-4262-9d69-0bee9ae3709a,Fixing missing end table tag in file:2000d672-a85f-4262-9d69-0bee9ae3709a.md
Warning,2000d672-a85f-4262-9d69-0bee9ae3709a,Fixing missing end table tag in file:2000d672-a85f-4262-9d69-0bee9ae3709a.md
Warning,2000d672-a85f-4262-9d69-0bee9ae3709a,Found invalid tables saving file:2000d672-a85f-4262-9d69-0bee9ae3709a.md
Warning,20e4f4b6-b7ff-4297-b00d-d1211ee800ac,Missing tables headers in file:20e4f4b6-b7ff-4297-b00d-d1211ee800ac.md
Warning,22ddb509-af16-4fc8-9b98-6f58caa6f37e,Found a an ul list inside a table in html file:22ddb509-af16-4fc8-9b98-6f58caa6f37e.xml
Warning,22dec3cc-4b6b-4df2-b269-5b35df4731a7,Found a an ol list inside a table in html file:22dec3cc-4b6b-4df2-b269-5b35df4731a7.xml
Warning,23d06fd3-31ee-4480-ba1e-d179a55b8b14,Found nested table in md file:23d06fd3-31ee-4480-ba1e-d179a55b8b14.md
Warning,23d06fd3-31ee-4480-ba1e-d179a55b8b14,Fixing missing end table tag in file:23d06fd3-31ee-4480-ba1e-d179a55b8b14.md
Warning,23d06fd3-31ee-4480-ba1e-d179a55b8b14,Found invalid tables saving file:23d06fd3-31ee-4480-ba1e-d179a55b8b14.md
