Error Type,Topic Guid,Message
                                        ON pro.[projectname]= RS.[Project Name]
                                        where RS.[Project Name] = 'Lync15_ITPro' retuned no rows for project:Lync15_ITPro server:ocpubcms for database:DDCMS_MOD_LYNC15
Warning,N/A,Sql Query:use [DDCMS_MOD_LYNC15] SELECT RA.[Item ID] as topicGuid,RA.[Attribute Value] as attValue
                              FROM [dbo].[Reporting_Topic_All_Attributes] RA
                              INNER JOIN [dbo].[Reporting_Topic_WithShared] RS
                              ON RA.[Item ID] = RS.[Topic ID]
                              INNER JOIN Projects pro
                              ON pro.[projectname] = RS.[Project Name]                              
                              where RA.[Attribute Name] = 'Context Sensitive ID' and RS.[Project Name] = 'Lync15_ITPro'  retuned no rows for project:Lync15_ITPro server:ocpubcms for database:DDCMS_MOD_LYNC15
Warning,N/A,Sql Query:use [DDCMS_MOD_LYNC15] SELECT tkw.[topicGuid] as topicGuid,kwf.[keyword] as f1Keyword
                                        FROM [dbo].[TopicKeywordsK] tkw join [dbo].[KeywordsK] kwf on tkw.[kwdGuid] = kwf.[kwdGuid]
                                        INNER JOIN [dbo].[Reporting_Topic_WithShared] RS
                                        ON tkw.[topicGuid] = RS.[Topic ID]   
                                        INNER JOIN Projects pro
                                        ON pro.[projectname] = RS.[Project Name]
                                        where RS.[Project Name] = 'Lync15_ITPro' or pro.[projectName]='Lync15_RGSCmdlets' or pro.[projectName]='Lync15_Help_TopoBuild' or pro.[projectName]='Lync15_Help_Planning' or pro.[projectName]='Lync15_Help_DepWizard' or pro.[projectName]='Lync15_Help_LSCP' or pro.[projectName]='Lync15_TermStudio' or pro.[projectName]='Lync15_ITPro_NIB' or pro.[projectName]='Lync15_RTCCmdlets' retuned no rows for project:Lync15_ITPro server:ocpubcms for database:DDCMS_MOD_LYNC15
Warning,N/A,Sql Query:use [DDCMS_MOD_LYNC15] SELECT RA.[Item ID] as topicGuid,RA.[Attribute Value] as attValue
                              FROM [dbo].[Reporting_Topic_All_Attributes] RA
                              INNER JOIN [dbo].[Reporting_Topic_WithShared] RS
                              ON RA.[Item ID] = RS.[Topic ID]
                              INNER JOIN Projects pro
                              ON pro.[projectname] = RS.[Project Name]
                              where RA.[Attribute Name] = 'loc.priority' and RS.[Project Name] = 'Lync15_ITPro'  retuned no rows for project:Lync15_ITPro server:ocpubcms for database:DDCMS_MOD_LYNC15
